emp_no,last_name,first_name,dept_no,dept_name
12125,Erman,Shounak,d005,Development
12128,Barreiro,Yannik,d007,Sales
12149,Grandbois,Suebskul,d007,Sales
12159,Perly,Shem,d005,Development
12165,Maquelin,Xiaobin,d005,Development
12205,Rossi,Sushant,d005,Development
12206,Janetzko,Barton,d005,Development
12221,Melter,Vincent,d005,Development
12247,Penttonen,Subbu,d005,Development
12249,Sadowski,Eldridge,d005,Development
12264,Pagter,Mart,d005,Development
12274,Papadias,Garnik,d005,Development
12276,Lenart,Yongmin,d005,Development
12311,Lubachevsky,Susanne,d005,Development
12327,Bruckman,DAIDA,d005,Development
12341,Luga,Rasiah,d005,Development
12373,Driscoll,Mooi,d007,Sales
12399,Luga,Mihalis,d007,Sales
12411,Ibel,Shao,d007,Sales
12415,Sluis,Uri,d007,Sales
12451,Marzano,Pramod,d005,Development
12454,Farris,Kerryn,d007,Sales
12464,Milicic,Shai,d007,Sales
12475,Roison,Filipe,d005,Development
12478,Hopewell,Yahiko,d007,Sales
12489,Munck,Arnould,d005,Development
12490,Muchinsky,Jackson,d005,Development
12493,Menhardt,Filipp,d005,Development
12497,Penz,Stein,d007,Sales
12514,Melter,Tomofumi,d005,Development
12541,Nanard,Shih,d007,Sales
12589,Chleq,Anoosh,d005,Development
12601,Simkin,Ghassan,d005,Development
12638,Seiwald,Yuqun,d005,Development
12651,Bael,Pragnesh,d007,Sales
12662,Alvarado,Leucio,d005,Development
12663,Stellhorn,Nobuyoshi,d005,Development
12664,Parveen,Zhonghua,d007,Sales
12678,Borovoy,Carrsten,d005,Development
12689,Boudaillier,Luerbio,d005,Development
12709,Botman,Ronghao,d005,Development
12726,Panwar,Fumitake,d005,Development
12730,Perl,Barry,d005,Development
12732,Takanami,Mara,d007,Sales
12734,Frijda,Gil,d005,Development
12759,Kuszyk,LiMin,d007,Sales
12773,Lovengreen,Jenwei,d005,Development
12790,Perl,Gunilla,d007,Sales
12798,Beeson,Lillian,d007,Sales
12803,Boissier,Gad,d007,Sales
12848,Smeets,Kazuhide,d005,Development
12872,Schmittgen,Marl,d007,Sales
12876,Goodrum,Apostol,d005,Development
12879,Eugenio,Baruch,d005,Development
12890,Casley,Neven,d007,Sales
12893,Crouzet,Licheng,d007,Sales
12905,Gecsei,Munehiro,d005,Development
12922,Porenta,Jacqueline,d007,Sales
12940,Farrar,Odinaldo,d005,Development
12941,Perelgut,Tommaso,d005,Development
12949,Asrin,Geoff,d005,Development
12951,Keirsey,Mohammad,d007,Sales
12974,Frolund,Gift,d007,Sales
12977,Markovitch,Byong,d005,Development
13012,Harbusch,Florina,d005,Development
13047,Chelton,Atilio,d005,Development
13062,Baak,Xinglin,d005,Development
13075,Morrin,Rosella,d007,Sales
13076,Skafidas,Deniz,d005,Development
13103,Ellozy,Srinidhi,d005,Development
13124,Garnick,Quingbo,d007,Sales
13146,Erie,Haldon,d007,Sales
13147,Ginesta,Shichao,d007,Sales
13156,Millington,Akeel,d005,Development
13173,Horswill,Arve,d007,Sales
13179,Janocha,Moty,d007,Sales
13186,Barbanera,Kyoichi,d007,Sales
13192,Flowers,Rosita,d005,Development
13210,Klassen,Jianhua,d007,Sales
13213,Billawala,Hein,d007,Sales
13232,Fujisaki,Mitchel,d005,Development
13233,Chvatal,Alselm,d005,Development
13238,Foote,Ebru,d007,Sales
13240,Pileggi,King,d005,Development
13243,Huxford,Fay,d007,Sales
13291,Stamatiou,Georg,d005,Development
13302,Alencar,Mack,d005,Development
13305,Herath,Bikash,d007,Sales
13315,Stroustrup,Sakthirel,d005,Development
13333,Hennebert,Yoshinari,d005,Development
13386,Sgarro,Khosrow,d005,Development
13392,Beidas,Fumitake,d007,Sales
13402,Dulli,Augustine,d005,Development
13405,Baba,Randy,d007,Sales
13493,Jullig,Uinam,d005,Development
13504,Mandell,Parto,d005,Development
13524,Porotnikoff,Chaoyi,d007,Sales
13549,Koprowski,Matk,d005,Development
13560,Jeong,Sibyl,d005,Development
13576,Engberts,Jungsoon,d005,Development
13605,Encarnacion,Dmitry,d007,Sales
13621,Haddadi,Fei,d005,Development
13629,Trelles,Dzung,d005,Development
13651,Plesums,Stamatina,d005,Development
13670,Takanami,Moti,d005,Development
13680,Speer,Denny,d007,Sales
13684,Christ,Elvia,d007,Sales
13685,Hockney,Weicheng,d005,Development
13697,Weedon,Shuichi,d005,Development
13721,Delgrossi,Sugwoo,d007,Sales
13738,Mitchem,Bangqing,d005,Development
13747,Capobianchi,Masaru,d007,Sales
13769,Trogemann,Yakichi,d007,Sales
13775,Maierhofer,Arve,d007,Sales
13786,Berendt,Takushi,d007,Sales
13796,Thorelli,Paloma,d005,Development
13801,Mayerwieser,Shih,d007,Sales
13859,Fujisawa,Anoosh,d005,Development
13883,Barreiro,Kwangyoen,d005,Development
13904,Cairo,Youngkon,d005,Development
13916,Wynblatt,Vidya,d007,Sales
13930,Chartres,Sukumar,d007,Sales
13934,Bratsberg,Shiv,d005,Development
13942,Esteva,Elzbieta,d005,Development
13951,Genther,Mooi,d007,Sales
13969,Chandrasekhar,Jianwen,d005,Development
13986,Ramsey,Geraldo,d007,Sales
13990,Schapiro,Deborah,d005,Development
14005,Stellhorn,Vojin,d005,Development
14113,Herber,Along,d005,Development
14139,Conry,Sachin,d005,Development
14191,Luby,Jiann,d005,Development
14197,Chachaty,Adin,d007,Sales
14232,Bojadziev,Masali,d005,Development
14275,Aseltine,Tristan,d007,Sales
14287,Highland,Masali,d005,Development
14310,Leuchs,Marlo,d007,Sales
14322,Kakkad,Shem,d005,Development
14345,Ramsey,Barry,d005,Development
14354,Bojadziev,Mong,d007,Sales
14372,Srimani,Saniya,d005,Development
14380,Heemskerk,Shigeu,d005,Development
14384,Holburn,Tomofumi,d005,Development
14434,Maginnis,Elvis,d005,Development
14478,Boissier,Munehiro,d007,Sales
14483,Marrevee,Supot,d005,Development
14513,Barreiro,Samphel,d007,Sales
14514,Denny,Fay,d005,Development
14516,Underwood,Kristian,d007,Sales
14533,Borovoy,Kensei,d005,Development
14552,Snyers,Ibibia,d005,Development
14560,Driscoll,Elrique,d005,Development
14581,Condotta,Gao,d005,Development
14582,Morrin,Kiyokazu,d005,Development
14603,Marquardt,Lech,d005,Development
14607,Selvestrel,Suzette,d007,Sales
14621,Wixon,Souichi,d007,Sales
14639,Hempstead,Arvind,d007,Sales
14640,Kornatzky,Toshimori,d005,Development
14642,Kuhnemann,Florian,d005,Development
14645,Glinert,Laurentiu,d005,Development
14648,Lorys,IEEE,d007,Sales
14690,Bellone,Yechezkel,d005,Development
14713,Ballarin,Terresa,d005,Development
14793,Uchoa,Stein,d005,Development
14817,Masaki,Gaurav,d005,Development
14821,Kilgore,Oguz,d005,Development
14839,Cronin,Changho,d005,Development
14853,Nergos,Taiji,d005,Development
14865,Serra,Ute,d007,Sales
14871,Kaiserswerth,Arnd,d007,Sales
14877,Meriste,Arto,d005,Development
14879,Sigstam,Anyuan,d005,Development
14888,Barriga,Temple,d007,Sales
14899,Casley,Alejandro,d007,Sales
14908,Flanders,Kerhong,d005,Development
14909,Kamble,Mohan,d005,Development
14914,Benzaken,Gretta,d005,Development
14923,Gyorkos,Shuzo,d005,Development
14941,Lichtner,Nathan,d005,Development
14954,Magliocco,Fox,d005,Development
14955,Kalefeld,Boguslaw,d005,Development
14966,Underwood,Zhanqiu,d007,Sales
14987,Demeyer,Tiina,d005,Development
14993,Koblitz,Sanjay,d005,Development
15030,Nourani,Rasikan,d007,Sales
15036,Delgrande,Ziva,d005,Development
15066,Oaver,Tomokazu,d005,Development
15071,Couchot,Ayonca,d007,Sales
15082,Zirintsis,Guadalupe,d005,Development
15089,Coney,Giri,d005,Development
15105,Itzigehl,Sudhanshu,d007,Sales
15113,Giaccio,Zhiguo,d007,Sales
15114,Honglei,Pantung,d005,Development
15133,Malinowski,Kagan,d005,Development
15134,Luiz,Arun,d007,Sales
15151,Pouyioutas,Urs,d007,Sales
15176,Sankaranarayanan,Charlene,d007,Sales
15193,Schach,Neelam,d005,Development
15196,Duclos,Souichi,d005,Development
15202,Irland,Pranay,d005,Development
15205,Rodiger,Cheong,d005,Development
15230,Suessmith,Keiichiro,d005,Development
15234,Zhiwei,Jouko,d005,Development
15237,Sadowsky,Reinhard,d005,Development
15271,Bernardeschi,Shiv,d007,Sales
15292,Lammel,Miyeon,d007,Sales
15329,Openshaw,Fan,d005,Development
15330,Chinal,Jaroslava,d007,Sales
15334,Kuzuoka,Luerbio,d005,Development
15365,Schiettecatte,Mikhail,d005,Development
15369,Penttonen,Premal,d007,Sales
15370,Nilsson,Chuanyi,d005,Development
15372,Broder,Nahum,d007,Sales
15377,Aumann,Shugo,d005,Development
15382,Siegrist,Alassane,d007,Sales
15392,Markovitch,Pradeep,d005,Development
15410,Kushner,Wilmer,d007,Sales
15412,Thiria,Huai,d005,Development
15452,Weedman,Kazuhira,d005,Development
15454,Cesareni,Hongzue,d007,Sales
15474,Plumb,Gilbert,d007,Sales
15480,Trogemann,Kwok,d005,Development
15504,Alpin,Kasturi,d005,Development
15510,Sethi,Inderjeet,d005,Development
15511,Kowalchuk,George,d007,Sales
15518,Valtorta,Uno,d005,Development
15525,Cherinka,Masadi,d005,Development
15539,Spieker,Shigeichiro,d007,Sales
15545,Suri,Masadi,d005,Development
15548,Caine,Sanjai,d005,Development
15566,Azuma,Baoqiu,d007,Sales
15601,Anily,Carrsten,d007,Sales
15623,Falby,Vishu,d005,Development
15641,Roisin,Jaana,d007,Sales
15666,Rothenberg,Pintsang,d005,Development
15703,Hanratty,Chenye,d005,Development
15708,Kushnir,Reuven,d007,Sales
15715,Ibel,Insup,d007,Sales
15739,Bahr,Poorav,d005,Development
15740,Pocchiola,Stepehn,d007,Sales
15765,Taubenfeld,Tonny,d005,Development
15799,Gelosh,Manton,d007,Sales
15819,Rajcani,Magdalena,d007,Sales
15821,Antonakopoulos,Aleksander,d005,Development
15876,Vakili,Munehiro,d005,Development
15889,Azumi,Sasan,d005,Development
15912,Cichocki,Piyawadee,d007,Sales
15920,Laurillard,Sanjit,d005,Development
15938,Covnot,Garnik,d007,Sales
15948,Versino,Karoline,d005,Development
15971,Aloia,Arumugam,d005,Development
15993,Peir,Yoshimitsu,d005,Development
16019,Heystek,Chaoyi,d005,Development
16025,Luce,Doowon,d005,Development
16052,Rodham,Maria,d005,Development
16066,Penn,Marsha,d007,Sales
16076,Ebeling,Marko,d005,Development
16077,Heemskerk,Kannan,d005,Development
16086,Denos,Mohammad,d005,Development
16094,Rosar,Berto,d005,Development
16105,Tetzlaff,Alper,d007,Sales
16130,Belinskaya,Kerryn,d005,Development
16134,Chaudhuri,Annemarie,d005,Development
16146,Meriste,Cathie,d005,Development
16185,Winter,Marin,d005,Development
16201,Olano,Krassimir,d005,Development
16212,Glinert,Izaskun,d005,Development
16222,Thummel,Shaz,d005,Development
16233,Baba,Sushant,d007,Sales
16237,Leaver,Slavian,d005,Development
16266,Sethi,Mikhail,d007,Sales
16272,Zeleznik,Shuho,d005,Development
16331,Garnham,Giap,d007,Sales
16355,Luca,Nikolaos,d007,Sales
16364,Gini,Yifei,d007,Sales
16373,Aseltine,Narain,d007,Sales
16396,Yoshimura,Guangming,d007,Sales
16398,Krzyzanowski,Limsoon,d007,Sales
16399,Collette,Apostol,d007,Sales
16446,Chinin,Jouko,d007,Sales
16447,Savasere,Zhiguo,d005,Development
16448,Zwicker,Tsvetan,d005,Development
16487,Yemenis,Arunas,d007,Sales
16490,Thiria,Muzhong,d007,Sales
16500,Servieres,Elvis,d007,Sales
16504,Cromarty,Mong,d005,Development
16537,Seiwald,Weidon,d005,Development
16546,Lanphier,Sangeeta,d005,Development
16551,Ranon,Sadegh,d005,Development
16556,Hiltgen,Mostafa,d005,Development
16557,Majewski,Fan,d005,Development
16607,Honglei,Vishwani,d007,Sales
16608,Greibach,Boguslaw,d005,Development
16619,Boguraev,Arvind,d005,Development
16672,Peris,Georgi,d007,Sales
16674,Takanami,Duke,d005,Development
16679,Cummings,Domenick,d005,Development
16716,Zumaque,Ramachenga,d005,Development
16731,Versino,Domenico,d005,Development
16759,Masaki,Vojin,d005,Development
16799,Bamford,Shigeichiro,d005,Development
16801,Strooper,Gila,d005,Development
16803,Rohrbach,Ziva,d005,Development
16806,Dayana,Sreekrishna,d007,Sales
16808,Katiyar,Kiyokazu,d007,Sales
16858,Gustavson,Akeno,d007,Sales
16875,Radhakrishnan,Nikolaos,d005,Development
16885,Stentiford,Ronghao,d007,Sales
16910,Botman,Kazunori,d005,Development
16921,Yeung,Evgueni,d007,Sales
16969,Braccini,Sanjit,d005,Development
16993,Dahlbom,Hongzue,d007,Sales
16996,Millington,Shigenori,d007,Sales
17012,Petereit,Valdiodio,d005,Development
17018,Tasistro,Berhard,d005,Development
17046,Kornyak,Fay,d005,Development
17055,Wixon,Marin,d005,Development
17063,Thiran,Anoosh,d007,Sales
17066,Ruther,Heping,d005,Development
17068,Gopalakrishnan,Bodh,d005,Development
17089,Erman,Rafail,d007,Sales
17097,Berztiss,Cathie,d005,Development
17098,Gelosh,Xuedong,d005,Development
17101,Compeau,Sandeepan,d005,Development
17102,Garnick,Radhika,d007,Sales
17103,Feldmann,Takahiro,d005,Development
17112,Vickson,Yuguang,d005,Development
17140,Schwabacher,Mabhin,d005,Development
17146,Barbanera,Aemilian,d007,Sales
17159,Mitchem,Quingbo,d005,Development
17163,Papsdorf,Yurii,d005,Development
17185,Wilfing,Danai,d007,Sales
17222,Muchinsky,Leen,d005,Development
17235,Rissanen,Ronnie,d005,Development
17245,Milicia,Neven,d007,Sales
17260,Famili,Abdulah,d005,Development
17275,Danlos,Shmuel,d007,Sales
17277,Hopewell,Arnd,d005,Development
17293,Alpin,Demin,d005,Development
17322,Fordan,Candida,d005,Development
17326,Ramsay,Arumugam,d005,Development
17329,Tyugu,Shaunak,d005,Development
17339,Mullainathan,Fan,d005,Development
17352,Katiyar,Muneo,d007,Sales
17355,Weisert,Mingzeng,d005,Development
17361,Griswold,Macha,d005,Development
17436,Munawer,Chirstian,d007,Sales
17448,Belinskaya,Makato,d005,Development
17468,Irland,Abdelghani,d007,Sales
17487,Staudhammer,Gully,d005,Development
17512,Hofmeyr,Frederique,d005,Development
17520,Keohane,Shahab,d005,Development
17539,Uhrik,Cathie,d005,Development
17559,Papastamatiou,Annemarie,d005,Development
17573,Deverell,Berthier,d007,Sales
17582,Spieker,Kauko,d005,Development
17589,Denti,Xuejia,d005,Development
17625,Mandelberg,Prodip,d005,Development
17629,Winter,Mostafa,d007,Sales
17647,Swab,Vasilis,d007,Sales
17674,Braccini,Adib,d005,Development
17677,Ramalingam,Mingdong,d005,Development
17681,Schauser,Eran,d007,Sales
17683,Henders,Bernt,d007,Sales
17695,Chvatal,Kazuhiro,d007,Sales
17699,Heping,Radhia,d005,Development
17702,Passafiume,Mantis,d005,Development
17711,Katiyar,Owen,d005,Development
17745,Schreiter,Hatem,d005,Development
17791,Stifter,Matt,d007,Sales
17796,Impagliazzo,Alejandro,d007,Sales
17815,Wissmann,Shuji,d005,Development
17834,Fiutem,Zhilian,d005,Development
17840,Sherertz,Tonny,d005,Development
17869,Prochazka,Xiaocheng,d005,Development
17874,Minakawa,Rutger,d007,Sales
17891,Luiz,Isaac,d005,Development
17900,Belinskaya,Sakthirel,d005,Development
17916,Morrin,Sukumar,d005,Development
17968,Murillo,Susanna,d005,Development
17973,Beidas,Sanjit,d005,Development
17986,Angelopoulos,Oguz,d007,Sales
18006,Hanabata,Vidya,d007,Sales
18013,Shanbhogue,Jiong,d005,Development
18016,Kaminger,Somnath,d007,Sales
18018,Schrooten,Sasan,d007,Sales
18024,Casperson,Uzi,d007,Sales
18061,Taubman,Francesca,d005,Development
18065,Wroclawski,Chriss,d007,Sales
18068,Lorie,Geoff,d005,Development
18080,Rosar,Satyanarayana,d005,Development
18086,Szmurlo,Brewster,d007,Sales
18099,Fendler,Kazuhiko,d005,Development
18108,Genin,Sanjai,d007,Sales
18134,Pesch,Ult,d005,Development
18138,Baezner,Moni,d005,Development
18210,Radhakrishnan,Mabo,d005,Development
18250,Orlowski,Godehard,d005,Development
18261,Baak,Shridhar,d005,Development
18274,Karnin,Yefim,d007,Sales
18297,Nastansky,Guther,d007,Sales
18310,Dalton,Ioana,d005,Development
18316,Msuda,Hongzue,d005,Development
18323,Tiemann,Oddvar,d005,Development
18362,Wolniewicz,Pohua,d005,Development
18369,Backhouse,Pintsang,d007,Sales
18382,Mattern,Remko,d005,Development
18401,Itzfeldt,Vidya,d007,Sales
18407,Luit,Marsja,d007,Sales
18435,Covnot,Basim,d007,Sales
18443,Swick,Florina,d007,Sales
18448,Bazelow,Rosine,d005,Development
18454,Anido,Eric,d007,Sales
18468,Cunliffe,Kirk,d005,Development
18492,Brickell,Turgut,d007,Sales
18511,Marzano,Pascal,d005,Development
18542,Anido,Tiina,d005,Development
18571,Flowers,Xinglin,d005,Development
18581,Ranai,Mitsuyuki,d007,Sales
18612,Sevcikova,Nevin,d007,Sales
18664,Akaboshi,Itzchak,d007,Sales
18666,Baja,Hitofumi,d005,Development
18671,Nastansky,Shan,d005,Development
18673,Orlowski,Ohad,d005,Development
18679,Lambe,Roded,d007,Sales
18701,Ratnakar,Mori,d007,Sales
18706,Schicker,Debaprosad,d007,Sales
18723,Baumann,Yechezkel,d005,Development
18725,Marchegay,Cullen,d007,Sales
18728,Luft,Tzvetan,d005,Development
18769,Luit,Kirk,d005,Development
18771,Haraldson,Domenick,d007,Sales
18775,Akazan,Shay,d005,Development
18782,Pepe,Fan,d005,Development
18786,Veevers,Guozhong,d005,Development
18789,Domenig,Reinhold,d007,Sales
18790,Rahier,Florina,d005,Development
18809,Munoz,Laurentiu,d007,Sales
18832,DiGiano,Pasqua,d005,Development
18833,Majewski,Roded,d005,Development
18835,Lieblein,Uwe,d005,Development
18865,Beutelspacher,Roselyn,d005,Development
18888,Stassinopoulos,Sajjan,d005,Development
18892,Matzat,Kamakshi,d007,Sales
18921,Radwan,Maren,d005,Development
18927,Msuda,Muneo,d005,Development
18933,Panienski,Barun,d005,Development
18980,Kawashimo,Weiye,d005,Development
18994,Mitsuhashi,Leszek,d007,Sales
19006,Hempstead,Martina,d005,Development
19012,Panangaden,Gal,d007,Sales
19014,Danecki,Jiafu,d007,Sales
19029,Jiang,Khosrow,d005,Development
19031,Pollock,Rosella,d007,Sales
19048,Radhakrishnan,Nikolaus,d007,Sales
19051,Cappello,Marek,d005,Development
19089,Ellozy,Badri,d005,Development
19109,Denis,Jenwei,d007,Sales
19113,Bahr,Persi,d007,Sales
19120,Qiwen,Giri,d005,Development
19134,Bakhtari,Seongbin,d007,Sales
19147,Bennis,Chaitali,d007,Sales
19160,Jervis,Tetsurou,d007,Sales
19192,Schusler,Yinlin,d005,Development
19201,Sommen,Arto,d007,Sales
19205,Sinitsyn,Moto,d007,Sales
19259,Pelc,Anoosh,d005,Development
19294,Schoegge,IEEE,d005,Development
19310,Guerreiro,Bouchung,d005,Development
19318,Halevi,Xianlong,d007,Sales
19333,Schrooten,Sanjeeva,d005,Development
19343,Hempstead,Heping,d007,Sales
19353,Schaar,Mayumi,d005,Development
19381,Holburn,Xiahua,d007,Sales
19419,Bernardeschi,Palash,d007,Sales
19425,Pettey,Xuejia,d005,Development
19445,Gecsel,Xinglin,d005,Development
19487,Cannane,Huiqun,d005,Development
19488,Perly,Maris,d005,Development
19504,Valtorta,Mingsen,d005,Development
19515,Gurbaxani,Keiichiro,d005,Development
19543,Perl,Chaitali,d005,Development
19580,Tagansky,Stein,d007,Sales
19586,Minakawa,Hirochika,d005,Development
19604,Cappello,Nahla,d005,Development
19616,Uchoa,Niranjan,d005,Development
19621,Albarhamtoshy,Radhakrishnan,d005,Development
19624,Wolniewicz,Younwoo,d007,Sales
19629,Matzke,Stepehn,d007,Sales
19633,Nourani,Tayeb,d005,Development
19634,Etalle,Phuoc,d007,Sales
19637,Papastamatiou,Dipayan,d005,Development
19653,Crooks,Gay,d005,Development
19663,Navazio,Sverrir,d007,Sales
19665,Zielinski,Khalid,d005,Development
19669,Honiden,Shem,d007,Sales
19675,Herath,Isamu,d007,Sales
19678,Plotkin,Xiping,d005,Development
19708,Biros,Ortrud,d007,Sales
19720,Maksimenko,Kwangyoen,d005,Development
19723,Magalhaes,Xuejun,d007,Sales
19724,Hasham,Visit,d007,Sales
19728,Ramsey,Candido,d007,Sales
19744,Skafidas,Aleksander,d005,Development
19746,Zeidenstein,Shiv,d007,Sales
19758,Birdsall,Rildo,d005,Development
19777,Ferretti,Halsur,d007,Sales
19826,Christ,Fox,d007,Sales
19831,Begiun,Kankanahalli,d005,Development
19839,Hempstead,Tadahiro,d005,Development
19841,Straney,Adil,d007,Sales
19849,Serre,Weicheng,d007,Sales
19874,Kuzuoka,Xuejia,d007,Sales
19940,Einsfeld,Reinhard,d007,Sales
19950,Kusakari,Jaroslava,d005,Development
19955,Conry,IEEE,d007,Sales
19975,Geffroy,Mabry,d005,Development
20006,Birnbaum,Geoff,d005,Development
20013,Lanphier,Jaewoo,d005,Development
20022,Bellone,Felicidad,d005,Development
20037,VanScheik,Tse,d005,Development
20042,Munck,Margareta,d007,Sales
20043,Adachi,Chikara,d005,Development
20048,Mattern,Moon,d005,Development
20059,Panwar,Pranay,d005,Development
20060,Attimonelli,Chrisa,d005,Development
20075,Oberman,Mikhail,d005,Development
20130,Picco,Xiaoshan,d007,Sales
20148,Polupanov,Ibibia,d007,Sales
20169,Zuberek,Gil,d005,Development
20170,Himler,Emdad,d007,Sales
20181,Wegerle,Thodoros,d007,Sales
20245,Fujisawa,Halsur,d005,Development
20251,Unno,Cristinel,d005,Development
20266,Kakkad,Ekawit,d007,Sales
20284,Parascandalo,Monique,d005,Development
20305,Birnbaum,Gou,d007,Sales
20325,England,Katsuyuki,d007,Sales
20327,Lyonns,Doowon,d005,Development
20334,Frijda,Miquel,d005,Development
20338,Butner,Reinhard,d007,Sales
20339,Jumpertz,Masami,d005,Development
20367,Takanami,Bernt,d005,Development
20375,Birrer,Conor,d005,Development
20392,Sidje,Terresa,d005,Development
20405,Mitina,JiYoung,d005,Development
20408,Smailagic,Debatosh,d005,Development
20416,Swiler,Oddvar,d005,Development
20435,Homond,Oguz,d007,Sales
20450,Binkley,Abdelwaheb,d005,Development
20454,Gunderson,Nidapan,d005,Development
20456,Highland,Sigeru,d005,Development
20489,Garrabrants,Boguslaw,d005,Development
20490,Douceur,Soenke,d005,Development
